state,SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,value
"{'delay': 753.0, 'rssi': -10.0, 'snr': 13.75, 'time_over_air': 281.0, 'bytes_per_second': 32.0, 'chunks_count': 1.0, 'attempt': 1}",10,868,500,7,2,0,200,36,80,1,0.02620598333
"{'delay': 357.0, 'rssi': -20.0, 'snr': 6.0, 'time_over_air': 128.0, 'bytes_per_second': 70.0, 'chunks_count': 1.0, 'attempt': 1}",8,874,250,5,20,0,200,94,140,1,0.027657333330000002
"{'delay': 322.0, 'rssi': -8.0, 'snr': 11.75, 'time_over_air': 125.0, 'bytes_per_second': 71.0, 'chunks_count': 1.0, 'attempt': 1}",10,879,125,8,12,0,200,86,100,1,0.020979716670000002
"{'delay': 2137.0, 'rssi': -10.0, 'snr': 10.0, 'time_over_air': 936.0, 'bytes_per_second': 9.0, 'chunks_count': 1.0, 'attempt': 1}",8,869,250,6,4,0,200,11,80,1,0.03451060333
"{'delay': 160.0, 'rssi': -19.0, 'snr': 12.0, 'time_over_air': 43.0, 'bytes_per_second': 209.0, 'chunks_count': 1.0, 'attempt': 1}",11,882,250,8,14,0,200,25,120,1,0.034384485
"{'delay': 161.0, 'rssi': -21.0, 'snr': 12.25, 'time_over_air': 43.0, 'bytes_per_second': 209.0, 'chunks_count': 1.0, 'attempt': 2}",10,886,500,8,5,0,200,93,80,1,0.025325940000000005
"{'delay': 606.0, 'rssi': -19.0, 'snr': 6.5, 'time_over_air': 249.0, 'bytes_per_second': 36.0, 'chunks_count': 1.0, 'attempt': 1}",11,883,500,8,17,0,200,98,120,1,0.017368083330000002
"{'delay': 1195.0, 'rssi': -8.0, 'snr': 7.5, 'time_over_air': 518.0, 'bytes_per_second': 17.0, 'chunks_count': 1.0, 'attempt': 1}",6,860,125,8,4,1,200,77,80,1,0.028653703330000002
"{'delay': 703.0, 'rssi': -25.0, 'snr': 7.0, 'time_over_air': 58.0, 'bytes_per_second': 155.0, 'chunks_count': 1.0, 'attempt': 1}",12,884,250,6,11,0,200,25,100,1,0.024403023330000002
"{'delay': 1993.0, 'rssi': -10.0, 'snr': 11.75, 'time_over_air': 807.0, 'bytes_per_second': 11.0, 'chunks_count': 1.0, 'attempt': 1}",6,865,250,8,14,1,200,15,120,1,0.03607278
"{'delay': 351.0, 'rssi': -12.0, 'snr': 7.75, 'time_over_air': 14.0, 'bytes_per_second': 642.0, 'chunks_count': 1.0, 'attempt': 1}",12,863,500,6,16,0,200,11,120,1,0.020292341670000002
"{'delay': 746.0, 'rssi': -13.0, 'snr': 7.0, 'time_over_air': 289.0, 'bytes_per_second': 31.0, 'chunks_count': 1.0, 'attempt': 1}",10,869,500,7,11,0,200,6,100,1,0.027408723330000002
"{'delay': 235.0, 'rssi': -10.0, 'snr': 6.25, 'time_over_air': 67.0, 'bytes_per_second': 134.0, 'chunks_count': 1.0, 'attempt': 1}",9,868,500,5,4,0,200,8,80,1,0.03100184667
"{'delay': 145.0, 'rssi': -20.0, 'snr': 8.0, 'time_over_air': 37.0, 'bytes_per_second': 243.0, 'chunks_count': 1.0, 'attempt': 1}",7,861,500,6,17,0,200,89,120,1,0.027652236670000004
"{'delay': 126.0, 'rssi': -11.0, 'snr': 5.0, 'time_over_air': 33.0, 'bytes_per_second': 272.0, 'chunks_count': 1.0, 'attempt': 1}",12,874,500,5,12,0,200,47,100,1,0.02115415
"{'delay': 1287.0, 'rssi': -7.0, 'snr': 6.5, 'time_over_air': 568.0, 'bytes_per_second': 15.0, 'chunks_count': 1.0, 'attempt': 1}",8,886,250,6,4,0,200,42,80,1,0.03214252667
"{'delay': 224.0, 'rssi': -20.0, 'snr': 11.0, 'time_over_air': 74.0, 'bytes_per_second': 121.0, 'chunks_count': 1.0, 'attempt': 1}",9,889,125,7,15,0,200,68,120,1,0.02329798333
"{'delay': 977.0, 'rssi': -8.0, 'snr': 11.25, 'time_over_air': 415.0, 'bytes_per_second': 21.0, 'chunks_count': 1.0, 'attempt': 1}",6,875,500,6,14,1,200,40,120,1,0.036684805
"{'delay': 178.0, 'rssi': -1.0, 'snr': 3.5, 'time_over_air': 9.0, 'bytes_per_second': 1000.0, 'chunks_count': 1.0, 'attempt': 1}",11,870,125,8,17,0,200,58,120,1,0.018587000000000003
"{'delay': 3432.0, 'rssi': -10.0, 'snr': 9.5, 'time_over_air': 1414.0, 'bytes_per_second': 6.0, 'chunks_count': 1.0, 'attempt': 1}",11,862,125,8,15,0,200,34,120,1,0.018586916670000002
"{'delay': 3433.0, 'rssi': -9.0, 'snr': 9.5, 'time_over_air': 1414.0, 'bytes_per_second': 6.0, 'chunks_count': 1.0, 'attempt': 2}",12,867,500,5,4,0,200,26,80,1,0.02404519
